Ec,Es,ds,Aw,hs,tc,ks
29.30317544,210,19,138,100,150,59.4
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,192.9
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,78.85
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.95
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,69.55
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,163.2
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,182.45
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,241.5
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,73.85
29.30317544,210,19,138,100,150,247.35
29.30317544,210,19,138,100,150,247.35
29.30317544,210,19,138,100,150,247.35
30.84302683,210,19,138,100,150,68.45
30.84302683,210,19,138,100,150,68.45
30.84302683,210,19,138,100,150,68.45
30.84302683,210,19,138,100,150,201.5
30.84302683,210,19,138,100,150,201.5
30.84302683,210,19,138,100,150,201.5
30.84302683,210,19,138,100,150,139.45
30.84302683,210,19,138,100,150,139.45
30.84302683,210,19,138,100,150,139.45
30.84302683,210,19,138,100,150,103.35
30.84302683,210,19,138,100,150,103.35
30.84302683,210,19,138,100,150,103.35
30.84302683,210,19,138,100,150,81.7
30.84302683,210,19,138,100,150,81.7
30.84302683,210,19,138,100,150,81.7
30.84302683,210,19,138,100,150,200.5
30.84302683,210,19,138,100,150,200.5
30.84302683,210,19,138,100,150,200.5
30.84302683,210,19,138,100,150,177.55
30.84302683,210,19,138,100,150,177.55
30.84302683,210,19,138,100,150,177.55
30.84302683,210,19,138,100,150,232.3
30.84302683,210,19,138,100,150,232.3
30.84302683,210,19,138,100,150,232.3
30.84302683,210,19,138,100,150,96.55
30.84302683,210,19,138,100,150,96.55
30.84302683,210,19,138,100,150,96.55
30.84302683,210,19,138,100,150,277.7
30.84302683,210,19,138,100,150,277.7
30.84302683,210,19,138,100,150,277.7
40.6,208,19,138,150,500,307.85
31.5,210,19,125.481,150,250,359.35
31.5,210,19,125.481,150,250,365.35
39.19619625,210,19,138,150,200,359
39.19619625,210,19,138,150,200,375
27.9,210,19,138,110,160,336.85
27.9,210,19,138,110,160,314.7
27.9,210,19,138,110,160,378.9
32.5,210,19,138,100,150,120.8
32.5,210,19,138,100,150,119.4
32.5,210,19,138,100,150,153
35.258,210,19,138,100,200,334.3
35.258,210,19,138,100,200,345.2
35.258,210,19,138,100,200,390.3
35.258,210,19,138,100,200,198.9
35.258,210,19,138,100,200,296.6
35.258,210,19,138,100,200,328.3
35.258,210,19,138,100,200,366.5
35.258,210,19,138,100,200,411.4
33.45,210,19,138,100,106,153
33.45,210,19,138,100,106,119.3
33.45,210,19,138,100,106,119.4
33.1,200,19,138,103,120,420.4
29,200,19,138,103,120,296.8
29,200,19,138,103,120,336.15
24.99367453,210,19,138,100,150,166.5
30.31032391,210,19,138,100,150,297.75
30.12146835,210,19,138,100,150,280.3
29.96195105,210,19,138,100,150,247.4
35.67582284,210,19,138,100,150,372.7
27.1,207,19,107.55,75,150,190.1
27,207,19,107.55,75,150,55.65
27,207,19,107.55,75,150,165.8
27.4,207,19,107.55,75,150,71.6
34.08,207,19,107.55,75,150,370.9
34.08,207,19,107.55,75,150,394.8
34.08,207,19,107.55,75,150,343.8
34.08,207,19,107.55,75,150,325.95
30.54392156,210,19.05,64.516,114.3,139.7,172.85
31.44372147,210,19.05,64.516,114.3,139.7,204.95
30.77466385,210,19.05,64.516,114.3,139.7,171.95
31.48321541,210,19.05,64.516,114.3,139.7,204.9
38.02824948,210,19.05,64.516,114.3,139.7,234.7
26.44958517,210,19.05,64.516,114.3,139.7,123.1
24.15338388,210,19.05,64.516,114.3,139.7,94.6
28.07648608,210,19.05,64.516,114.3,139.7,122.75
29.13660485,210,19.05,64.516,114.3,139.7,155.95
32.15639558,210,19.05,64.516,114.3,139.7,209.75
33.0645151,210,19.05,64.516,114.3,139.7,221.65
30.37351863,210,19.05,64.516,63.5,101.6,197
30.33056756,210,19.05,64.516,88.9,114.3,197.25
31.60100892,210,19.05,64.516,63.5,101.6,201.75
30.72048908,210,19.05,138,76.2,152.4,359.45
30.72048908,210,19.05,138,101.6,152.4,340.75
29.53192225,210,19.1,190.8,99.1,177.8,191.45
30.35206082,210,19.1,190.8,99.1,177.8,124.2
32.30824972,210,20,138,80,150,279.85
32.30824972,210,20,138,80,150,255.5
32.30824972,210,20,138,80,150,260.35
32.30824972,210,20,138,80,150,272.7
43.99,215.39,22,174,35,50,409.32
43.99,215.39,22,174,60,75,567.82
43.852,215.39,22,174,35,50,350.37
43.852,215.39,22,174,60,75,454.89
43.852,215.39,22,174,60,75,427.8
43.99,215.39,22,174,60,75,448.6
43.852,215.39,22,174,60,75,359.78
43.99,215.39,22,174,60,75,357.33
43.852,215.39,22,174,60,75,281.84
44.15732255,210,22,174,80,100,69.26
44.15732255,210,22,174,80,100,69.26
37.5,195,22,174,80,150,231.74
46,195,22,174,80,150,327
46,195,22,174,120,150,437.18
35.4,206,22,174,100,150,400.75
35.4,206,22,174,100,150,357.25
35.4,206,22,174,100,150,142.25
33,210,22,174,100,150,568.8
48,210,22,174,100,150,721.9
35.643,210,22,174,100,150,468.25
35.643,210,22,174,100,150,468.25
35.643,210,22,174,100,150,468.25
36.93484446,210,22,174,200,400,553.8
36.93484446,210,22,174,200,400,407.6
36.93484446,210,22,174,200,400,501.55
36.93484446,210,22,174,200,400,489.1
36.93484446,210,22,174,200,400,318.35
36.93484446,210,22,174,200,400,531.4
36.93484446,210,22,174,200,400,356.4
39.19619625,210,22,174,150,200,487
39.19619625,210,22,174,150,200,552
39.19619625,210,22,174,150,200,460
46.18896024,205,22,174,80,130,789.4
47.75172627,205,22,174,80,130,523.3
47.08078398,205,22,174,80,130,551.65
47.38049503,205,22,174,80,130,505.25
28.42778613,205,22,174,80,130,128.3
38.60974733,205,22,174,80,130,235.55
36.391,210,22,174,100,500,505.3
36.391,210,22,174,100,500,396.6
36.391,210,22,174,100,500,495.6
36.391,210,22,174,200,500,427.5
36.391,210,22,174,200,500,415.3
36.391,210,22,174,200,500,433.8
37.117,210,22,174,200,400,399.7
37.117,210,22,174,200,400,367.5
37.117,210,22,174,200,400,545.1
37.117,210,22,174,200,400,462.9
37.117,210,22,174,200,400,481.7
35.258,210,22,174,100,200,395.8
35.258,210,22,174,100,200,380.3
35.258,210,22,174,100,200,381
35.415,210,22,174,200,400,475.5
35.415,210,22,174,200,400,477.5
35.415,210,22,174,200,400,457.6
35.415,210,22,174,200,400,479.6
35.415,210,22,174,200,400,528.2
35.415,210,22,174,200,400,485.1
